,city,Longitude,Latitude,Max Temp,Humidity,Clouds,Wind Speed,Country,Date Time
87,rafai,23.92,4.95,73.74,95,98,2.01,CF,1594050742
88,saskylakh,114.08,71.92,42.8,81,100,12.48,RU,1594050742
89,portobelo,-79.65,9.55,86.0,66,70,3.0,PA,1594050742
90,faanui,-151.75,-16.48,79.03,76,100,12.73,PF,1594050742
91,guerrero negro,-114.06,27.98,76.53,52,0,7.9,MX,1594050743
92,kangaatsiaq,-53.46,68.31,41.36,91,99,9.35,GL,1594050743
93,eydhafushi,73.07,5.1,77.61,89,100,9.73,MV,1594050743
94,drummondville,-72.48,45.88,71.01,64,1,8.05,CA,1594050715
95,kodiak,-152.41,57.79,55.4,87,90,7.09,US,1594050621
96,rocha,-54.33,-34.48,53.49,68,12,7.7,UY,1594050743
97,hithadhoo,73.08,-0.6,84.11,77,100,17.11,MV,1594050743
98,uray,64.78,60.12,71.55,70,17,4.45,RU,1594050667
99,hay river,-115.8,60.82,60.8,72,75,5.82,CA,1594050743
100,chokurdakh,147.92,70.63,37.38,91,97,8.52,RU,1594050743
101,ilulissat,-51.1,69.22,48.2,70,75,10.29,GL,1594050743
102,mahina,-149.49,-17.51,73.4,83,56,3.36,PF,1594050743
103,vardo,31.11,70.37,48.2,87,75,12.75,NO,1594050682
104,oxford,-1.26,51.75,69.01,48,40,12.75,GB,1594050651
105,bathsheba,-59.52,13.22,84.2,74,40,23.04,BB,1594050743
106,moche,-79.01,-8.17,66.09,76,67,8.84,PE,1594050743
107,mar del plata,-57.56,-38.0,48.2,76,75,8.05,AR,1594050744
108,poum,164.02,-20.23,69.55,70,98,7.34,NC,1594050744
109,port hardy,-127.42,50.7,57.2,76,75,3.36,CA,1594050744
110,nizhniye sergi,59.3,56.66,67.62,86,100,0.81,RU,1594050744
111,palmer,-72.33,42.16,82.99,54,20,6.93,US,1594050744
112,severo-kurilsk,156.12,50.68,50.05,87,73,8.81,RU,1594050744
113,jiayuguan,98.3,39.82,80.46,16,87,7.11,CN,1594050744
114,ballina,153.57,-28.87,48.99,93,29,5.82,AU,1594050744
115,yellowknife,-114.35,62.46,60.8,55,40,17.22,CA,1594050744
116,belaya gora,146.42,68.53,48.85,85,95,5.75,RU,1594050744
117,outlook,-107.05,51.5,67.66,58,0,9.71,CA,1594050744
118,vila velha,-40.29,-20.33,82.4,61,0,3.36,BR,1594050703
119,castro,-50.01,-24.79,69.57,66,100,4.16,BR,1594050744
120,thompson,-97.86,55.74,60.8,87,90,10.29,CA,1594050744
121,sola,167.55,-13.88,78.8,88,90,23.2,VU,1594050744
122,bambous virieux,57.76,-20.34,73.99,94,75,8.05,MU,1594050744
123,hilo,-155.09,19.73,71.6,83,20,4.7,US,1594050745
124,sao joao da barra,-41.05,-21.64,84.2,51,0,11.41,BR,1594050513
125,la candelaria,-63.4,9.69,83.84,71,61,9.42,VE,1594050745
126,wuchi,103.02,29.38,60.6,94,99,1.7,CN,1594050745
127,tambopata,-69.18,-12.73,80.6,78,75,5.82,PE,1594050745
128,bredasdorp,20.04,-34.53,64.4,72,0,11.41,ZA,1594050745
129,ancud,-73.82,-41.87,48.99,100,75,3.36,CL,1594050745
130,san quintin,-115.95,30.48,75.65,54,0,6.38,MX,1594050745
